Rk,Player,PTS,Date,Age,Team,Unnamed: 6,Opp,Result,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,TS%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS.1,GmSc,BPM,+/-,Pos.
11.0,Keyonte George,43.0,2026-01-20,22-073,UTA,,MIN,"W, 127-122",*,39.0,15.0,28.0,0.536,9.0,15.0,0.6,6.0,13.0,0.462,7.0,8.0,0.875,0.682,0.0,0.0,0.0,3.0,2.0,0.0,6.0,4.0,43.0,25.5,0.6,-6.0,G
12.0,Brice Sensabaugh,43.0,2026-01-14,22-076,UTA,@,CHI,"L, 126-128",,34.0,15.0,22.0,0.682,10.0,12.0,0.833,5.0,10.0,0.5,8.0,8.0,1.0,0.842,2.0,3.0,5.0,2.0,2.0,0.0,2.0,2.0,43.0,36.5,14.2,-2.0,F
13.0,Jalen Brunson,42.0,2026-02-04,29-157,NYK,,DEN,"W, 134-127 (2OT)",*,47.0,14.0,27.0,0.519,9.0,15.0,0.6,5.0,12.0,0.417,9.0,11.0,0.818,0.66,0.0,8.0,8.0,9.0,2.0,0.0,5.0,2.0,42.0,32.8,10.5,13.0,G
14.0,Cade Cunningham,42.0,2026-02-19,24-147,DET,@,NYK,"W, 126-111",*,38.0,17.0,34.0,0.5,12.0,23.0,0.522,5.0,11.0,0.455,3.0,3.0,1.0,0.595,2.0,6.0,8.0,13.0,1.0,2.0,5.0,0.0,42.0,34.7,14.7,12.0,G
15.0,Luka Dončić,42.0,2026-01-12,26-318,LAL,@,SAC,"L, 112-124",*,37.0,16.0,25.0,0.64,14.0,16.0,0.875,2.0,9.0,0.222,8.0,8.0,1.0,0.736,2.0,5.0,7.0,8.0,4.0,0.0,4.0,2.0,42.0,38.6,19.1,-10.0,G-F
16.0,Trey Murphy III,42.0,2026-01-06,25-202,NOP,,LAL,"L, 103-111",*,39.0,14.0,26.0,0.538,8.0,9.0,0.889,6.0,17.0,0.353,8.0,9.0,0.889,0.701,1.0,4.0,5.0,3.0,0.0,0.0,0.0,2.0,42.0,32.2,14.7,-8.0,F
17.0,Jamal Murray,42.0,2026-01-17,28-328,DEN,,WAS,"W, 121-115",*,39.0,15.0,24.0,0.625,10.0,16.0,0.625,5.0,8.0,0.625,7.0,8.0,0.875,0.763,0.0,3.0,3.0,6.0,2.0,2.0,5.0,1.0,42.0,33.9,10.8,5.0,G
18.0,Deni Avdija,41.0,2026-01-07,25-004,POR,,HOU,"W, 103-102",*,39.0,13.0,24.0,0.542,11.0,15.0,0.733,2.0,9.0,0.222,13.0,15.0,0.867,0.67,0.0,6.0,6.0,2.0,1.0,0.0,5.0,1.0,41.0,27.4,7.6,0.0,G-F
19.0,Jaylen Brown,41.0,2026-01-17,29-085,BOS,@,ATL,"W, 132-106",*,30.0,14.0,30.0,0.467,12.0,21.0,0.571,2.0,9.0,0.222,11.0,12.0,0.917,0.581,1.0,5.0,6.0,2.0,1.0,1.0,1.0,0.0,41.0,29.5,5.1,36.0,F-G
20.0,Kawhi Leonard,41.0,2026-02-08,34-224,LAC,@,MIN,"W, 115-96",*,34.0,14.0,30.0,0.467,9.0,19.0,0.474,5.0,11.0,0.455,8.0,10.0,0.8,0.596,2.0,6.0,8.0,2.0,4.0,0.0,2.0,0.0,41.0,31.4,11.8,20.0,F
